text,category
Campus is too crowded since yesterday,Other
College website is not opening,IT / WiFi
No notes provided by faculty in Block C,Faculty / Academics
Lift not working in block C,Infrastructure
Bus cleanliness is poor during peak hours,Transport
Bus cleanliness is poor in Block C,Transport
Need more clubs and activities,Other
Broken door lock in hostel room since yesterday,Hostel
Urgent: internet speed is very slow,IT / WiFi
Urgent: hostel common area is unhygienic,Hostel
Urgent: canteen food quality is bad,Canteen
Need career guidance sessions since yesterday,Other
Urgent: lift not working in block c,Infrastructure
Hot water not available in hostel,Hostel
Result correction request pending,Exams / Results
Bus route has been changed suddenly,Transport
Refund not processed in Block C,Fees / Admin
Bus did not come today in Block C,Transport
Bus AC not working in Block C,Transport
Lack of green spaces on campus during peak hours,Other
Unable to login to student portal since yesterday,IT / WiFi
Urgent: refund not processed,Fees / Admin
Verbal abuse by seniors in Block C,Ragging / Safety
Office hours unclear during peak hours,Fees / Admin
Urgent: teacher is not explaining properly,Faculty / Academics
Wardens not responding to complaints,Hostel
Toilet is very dirty since yesterday,Infrastructure
Need more clubs and activities during peak hours,Other
Teacher is not explaining properly during peak hours,Faculty / Academics
Security guards not attentive in Block C,Ragging / Safety
Orientation sessions are unclear during peak hours,Other
Campus is too crowded,Other
No escort service at night since yesterday,Ragging / Safety
Urgent: need alumni mentorship programs,Other
AC not cooling in hostel room during peak hours,Hostel
Mosquito problem in hostel room since yesterday,Hostel
Lift not working in block C since yesterday,Infrastructure
Faculty is not responding to doubts,Faculty / Academics
Lift not working in block C in Block C,Infrastructure
Need career guidance sessions,Other
Threats received from seniors in Block C,Ragging / Safety
Urgent: no digital payment accepted,Canteen
Urgent: unauthorized people entering campus,Ragging / Safety
Fees payment failed but amount debited in Block C,Fees / Admin
No drinking water near canteen during peak hours,Canteen
Toilet is very dirty in Block C,Infrastructure
Sports equipment is damaged,Other
AC not cooling in hostel room in Block C,Hostel
Bus did not come today in Block C,Transport
WiFi is not working in the lab since yesterday,IT / WiFi
Scholarship amount not credited since yesterday,Fees / Admin
Urgent: fan is not working in class,Infrastructure
No guidance for projects,Faculty / Academics
Sports equipment is damaged during peak hours,Other
Need career guidance sessions since yesterday,Other
Admit card download failed during peak hours,Exams / Results
Room light is flickering in hostel during peak hours,Hostel
Verbal abuse by seniors since yesterday,Ragging / Safety
Urgent: document verification delayed,Fees / Admin
Urgent: no dustbin in corridor,Infrastructure
Need career guidance sessions during peak hours,Other
Staff behavior is rude in canteen during peak hours,Canteen
Room fan is not working in hostel,Hostel
Orientation sessions are unclear since yesterday,Other
Office hours unclear,Fees / Admin
Canteen is overcrowded since yesterday,Canteen
Class is too fast to understand since yesterday,Faculty / Academics
Portal shows error while uploading,IT / WiFi
Urgent: water leakage in lab,Infrastructure
Bus is overcrowded in Block C,Transport
Canteen food quality is bad,Canteen
Course outcomes not explained in Block C,Faculty / Academics
Exam center changed suddenly during peak hours,Exams / Results
Verbal abuse by seniors during peak hours,Ragging / Safety
Safety signage missing in Block C,Ragging / Safety
Office is not responding,Fees / Admin
No water in hostel bathroom during peak hours,Hostel
Orientation sessions are unclear during peak hours,Other
No ramps for accessibility since yesterday,Infrastructure
Bus timings are inconvenient since yesterday,Transport
Exam timetable not released,Exams / Results
No water in hostel bathroom during peak hours,Hostel
Exam center changed suddenly in Block C,Exams / Results
Hostel WiFi not working since yesterday,Hostel
No announcement about bus delays in Block C,Transport
Syllabus not completed on time during peak hours,Faculty / Academics
Exam timetable not released during peak hours,Exams / Results
Result portal is not loading,Exams / Results
Classroom speakers not working during peak hours,Infrastructure
Urgent: captcha error on login,IT / WiFi
Bus seats are damaged in Block C,Transport
Exam schedule overlaps,Exams / Results
Need career guidance sessions during peak hours,Other
Answer scripts not uploaded since yesterday,Exams / Results
Answer scripts not uploaded since yesterday,Exams / Results
Urgent: campus is too crowded,Other
No response for TC request since yesterday,Fees / Admin
Teaching quality is poor during peak hours,Faculty / Academics
Unfair internal marks given during peak hours,Faculty / Academics
Bus route has been changed suddenly,Transport
Captcha error on login,IT / WiFi
Urgent: drinking water cooler not working in hostel,Hostel
Urgent: no ramps for accessibility,Infrastructure
Urgent: bus stop changed without notice,Transport
Bus breakdown on the way,Transport
Need more clubs and activities,Other
WiFi disconnects frequently since yesterday,IT / WiFi
Urgent: teaching quality is poor,Faculty / Academics
Urgent: dirty washroom in hostel block,Hostel
Urgent: vpn access is failing,IT / WiFi
Hostel food quality is very bad,Hostel
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Syllabus not completed on time in Block C,Faculty / Academics
Teaching quality is poor,Faculty / Academics
Lack of green spaces on campus since yesterday,Other
Fan is not working in class during peak hours,Infrastructure
Classroom is too hot in Block C,Infrastructure
Room light is flickering in hostel since yesterday,Hostel
Internet speed is very slow during peak hours,IT / WiFi
Unfair internal marks given during peak hours,Faculty / Academics
Result correction request pending,Exams / Results
Hot water not available in hostel,Hostel
Library closing too early,Other
No digital payment accepted in Block C,Canteen
Duplicate fee charged since yesterday,Fees / Admin
Urgent: wardens not responding to complaints,Hostel
Poor lighting in parking area,Ragging / Safety
No escort service at night during peak hours,Ragging / Safety
Urgent: faculty is absent frequently,Faculty / Academics
Unfair internal marks given,Faculty / Academics
WiFi is not working in the lab during peak hours,IT / WiFi
Seniors are harassing juniors,Ragging / Safety
Need more water coolers in Block C,Other
Safety signage missing during peak hours,Ragging / Safety
Canteen food quality is bad,Canteen
Admin staff is rude since yesterday,Fees / Admin
Fee deadline extension needed,Fees / Admin
Unable to login to student portal during peak hours,IT / WiFi
Classroom speakers not working in Block C,Infrastructure
Bus cleanliness is poor since yesterday,Transport
Question paper had errors during peak hours,Exams / Results
Urgent: server is down during submission,IT / WiFi
Urgent: drinking water cooler not working in hostel,Hostel
Fees portal not opening,Fees / Admin
No drinking water near canteen during peak hours,Canteen
Driver drives rashly since yesterday,Transport
Urgent: scholarship amount not credited,Fees / Admin
Urgent: admit card download failed,Exams / Results
Urgent: hostel wifi not working,Hostel
Bus is late every morning,Transport
Windows are jammed since yesterday,Infrastructure
AC not cooling in hostel room since yesterday,Hostel
Poor lighting in parking area since yesterday,Ragging / Safety
Feedback not considered in Block C,Faculty / Academics
Security is not available in block B since yesterday,Ragging / Safety
No announcement about bus delays,Transport
Exam schedule overlaps since yesterday,Exams / Results
Power cut in hostel since morning in Block C,Hostel
Late announcement of exam changes during peak hours,Exams / Results
Document verification delayed in Block C,Fees / Admin
Urgent: canteen is overcrowded,Canteen
Urgent: utensils are dirty,Canteen
No quiet zones in library in Block C,Other
Hot water not available in hostel in Block C,Hostel
Driver drives rashly since yesterday,Transport
Windows are jammed,Infrastructure
Broken bench in classroom since yesterday,Infrastructure
Urgent: wifi disconnects frequently,IT / WiFi
Bus timings are inconvenient in Block C,Transport
No escort service at night in Block C,Ragging / Safety
Urgent: bus is overcrowded,Transport
Name correction request pending during peak hours,Fees / Admin
Unauthorized people entering campus during peak hours,Ragging / Safety
Broken door lock in hostel room during peak hours,Hostel
Portal shows error while uploading during peak hours,IT / WiFi
Urgent: wifi is not working in the lab,IT / WiFi
Urgent: windows are jammed,Infrastructure
Name correction request pending,Fees / Admin
Bus stop changed without notice since yesterday,Transport
Exam center changed suddenly in Block C,Exams / Results
Bus did not come today during peak hours,Transport
Revaluation result pending during peak hours,Exams / Results
Faculty is not responding to doubts in Block C,Faculty / Academics
No announcement about bus delays during peak hours,Transport
Lack of green spaces on campus in Block C,Other
Orientation sessions are unclear,Other
Need alumni mentorship programs since yesterday,Other
No water in hostel bathroom,Hostel
Unfair internal marks given,Faculty / Academics
Classroom speakers not working,Infrastructure
No drinking water near canteen,Canteen
Water leakage in lab since yesterday,Infrastructure
Lights are not working in corridor during peak hours,Infrastructure
Urgent: food allergy info not available,Canteen
Campus is too crowded since yesterday,Other
Admit card download failed in Block C,Exams / Results
Staff behavior is rude in canteen in Block C,Canteen
Urgent: food allergy info not available,Canteen
No dustbin in corridor,Infrastructure
Urgent: mentor meetings are irregular,Faculty / Academics
Attendance portal is slow in Block C,IT / WiFi
Answer scripts not uploaded since yesterday,Exams / Results
Urgent: internet speed is very slow,IT / WiFi
Answer scripts not uploaded,Exams / Results
Urgent: bus cleanliness is poor,Transport
Food allergy info not available since yesterday,Canteen
Document verification delayed since yesterday,Fees / Admin
Driver drives rashly since yesterday,Transport
Need more water coolers since yesterday,Other
Need more study space in Block C,Other
Urgent: course outcomes not explained,Faculty / Academics
Hostel common area is unhygienic,Hostel
Urgent: canteen closes too early,Canteen
Urgent: need more study space,Other
Projector not working in seminar hall since yesterday,Infrastructure
Fees portal not opening in Block C,Fees / Admin
Urgent: no ramps for accessibility,Infrastructure
Feedback not considered,Faculty / Academics
Ragging happening near canteen,Ragging / Safety
Unfair internal marks given during peak hours,Faculty / Academics
Admin staff is rude in Block C,Fees / Admin
Staff behavior is rude in canteen during peak hours,Canteen
Need more study space since yesterday,Other
Bullying in college campus during peak hours,Ragging / Safety
Feedback not considered during peak hours,Faculty / Academics
Urgent: campus is too crowded,Other
Exam center changed suddenly since yesterday,Exams / Results
Room light is flickering in hostel in Block C,Hostel
Urgent: hot water not available in hostel,Hostel
Water leakage in lab in Block C,Infrastructure
Urgent: office is not responding,Fees / Admin
Poor lighting in parking area,Ragging / Safety
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Unfair internal marks given,Faculty / Academics
Internal marks not showing,Exams / Results
Urgent: safety signage missing,Ragging / Safety
Fees payment failed but amount debited during peak hours,Fees / Admin
Office is not responding in Block C,Fees / Admin
Urgent: internet speed is very slow,IT / WiFi
Toilet is very dirty since yesterday,Infrastructure
Mosquito problem in hostel room in Block C,Hostel
Canteen closes too early,Canteen
Refund not processed during peak hours,Fees / Admin
Captcha error on login since yesterday,IT / WiFi
Wardens not responding to complaints,Hostel
No quiet zones in library in Block C,Other
VPN access is failing since yesterday,IT / WiFi
Need more study space during peak hours,Other
Urgent: staff behavior is rude in canteen,Canteen
Bus AC not working since yesterday,Transport
Toilet is very dirty during peak hours,Infrastructure
Urgent: id card not issued,Fees / Admin
Urgent: bus route has been changed suddenly,Transport
Internet speed is very slow,IT / WiFi
Attendance portal is slow,IT / WiFi
Mentor meetings are irregular in Block C,Faculty / Academics
Orientation sessions are unclear since yesterday,Other
Bus seats are damaged since yesterday,Transport
Transport fee is too high during peak hours,Transport
Classroom is too hot since yesterday,Infrastructure
Unauthorized people entering campus since yesterday,Ragging / Safety
VPN access is failing,IT / WiFi
Urgent: id card not issued,Fees / Admin
Urgent: bed is broken in hostel room,Hostel
Security guards not attentive since yesterday,Ragging / Safety
No digital payment accepted in Block C,Canteen
Urgent: transport fee is too high,Transport
Fees payment failed but amount debited,Fees / Admin
Fee deadline extension needed since yesterday,Fees / Admin
Verbal abuse by seniors since yesterday,Ragging / Safety
Office hours unclear in Block C,Fees / Admin
Internal marks not showing since yesterday,Exams / Results
Urgent: college website is not opening,IT / WiFi
Urgent: security is not available in block b,Ragging / Safety
No digital payment accepted,Canteen
No seating space in peak hours during peak hours,Canteen
Urgent: vpn access is failing,IT / WiFi
Limited food options available during peak hours,Canteen
Hall ticket not generated,Exams / Results
Verbal abuse by seniors during peak hours,Ragging / Safety
Class is too fast to understand in Block C,Faculty / Academics
Security guards not attentive since yesterday,Ragging / Safety
Urgent: late announcement of exam changes,Exams / Results
Teaching quality is poor,Faculty / Academics
No escort service at night since yesterday,Ragging / Safety
Verbal abuse by seniors since yesterday,Ragging / Safety
Hot water not available in hostel in Block C,Hostel
Attendance portal is slow,IT / WiFi
Long waiting time in canteen since yesterday,Canteen
Security guards not attentive during peak hours,Ragging / Safety
Hot water not available in hostel during peak hours,Hostel
No digital payment accepted during peak hours,Canteen
Wrong marks updated in portal,Exams / Results
No notes provided by faculty during peak hours,Faculty / Academics
Server is down during submission since yesterday,IT / WiFi
Bus route has been changed suddenly in Block C,Transport
Bus breakdown on the way during peak hours,Transport
Urgent: bonafide certificate delayed,Fees / Admin
Lights are not working in corridor during peak hours,Infrastructure
Food is stale,Canteen
Seating arrangement confusion since yesterday,Exams / Results
Urgent: library closing too early,Other
Bus timings are inconvenient,Transport
Two-factor authentication not working in Block C,IT / WiFi
Bed is broken in hostel room in Block C,Hostel
AC not cooling in hostel room during peak hours,Hostel
ID card not issued in Block C,Fees / Admin
Food is stale in Block C,Canteen
Attendance portal is slow since yesterday,IT / WiFi
Answer scripts not uploaded in Block C,Exams / Results
Broken bench in classroom during peak hours,Infrastructure
No drinking water near canteen since yesterday,Canteen
Urgent: id card not issued,Fees / Admin
Long waiting time in canteen in Block C,Canteen
WiFi is not working in the lab in Block C,IT / WiFi
Doubts not cleared in lab in Block C,Faculty / Academics
Water leakage in lab since yesterday,Infrastructure
Lights are not working in corridor in Block C,Infrastructure
Need more cultural events,Other
Urgent: menu prices not displayed,Canteen
Office is not responding during peak hours,Fees / Admin
Transport fee is too high since yesterday,Transport
Power cut in hostel since morning in Block C,Hostel
No CCTV in corridor in Block C,Ragging / Safety
Classroom speakers not working during peak hours,Infrastructure
Fan is not working in class since yesterday,Infrastructure
Long waiting time in canteen during peak hours,Canteen
Faculty is not responding to doubts in Block C,Faculty / Academics
Bus cleanliness is poor in Block C,Transport
Bus route has been changed suddenly during peak hours,Transport
Urgent: broken bench in classroom,Infrastructure
No bus available for evening batch in Block C,Transport
Urgent: classroom is too hot,Infrastructure
Emergency helpline not responding,Ragging / Safety
No response for TC request in Block C,Fees / Admin
Urgent: projector not working in seminar hall,Infrastructure
Door hinges are broken during peak hours,Infrastructure
Urgent: seniors are harassing juniors,Ragging / Safety
Urgent: canteen closes too early,Canteen
No quiet zones in library in Block C,Other
Projector not working in seminar hall in Block C,Infrastructure
Urgent: id card not issued,Fees / Admin
Duplicate fee charged,Fees / Admin
Need alumni mentorship programs in Block C,Other
Food is stale during peak hours,Canteen
Bus pass not issued,Transport
Urgent: hostel common area is unhygienic,Hostel
Bus cleanliness is poor,Transport
Need more water coolers since yesterday,Other
Poor lighting in parking area,Ragging / Safety
Urgent: exam results are delayed,Exams / Results
Need career guidance sessions in Block C,Other
Urgent: faculty is absent frequently,Faculty / Academics
Fees portal not opening during peak hours,Fees / Admin
Teacher is not explaining properly during peak hours,Faculty / Academics
Course outcomes not explained during peak hours,Faculty / Academics
Revaluation result pending in Block C,Exams / Results
No response for TC request since yesterday,Fees / Admin
No digital payment accepted in Block C,Canteen
No announcement about bus delays since yesterday,Transport
No response for TC request,Fees / Admin
Orientation sessions are unclear during peak hours,Other
Door hinges are broken since yesterday,Infrastructure
Class is too fast to understand in Block C,Faculty / Academics
Hostel WiFi not working since yesterday,Hostel
Urgent: document verification delayed,Fees / Admin
Feedback not considered,Faculty / Academics
Urgent: course outcomes not explained,Faculty / Academics
Limited food options available in Block C,Canteen
Emergency helpline not responding during peak hours,Ragging / Safety
No water in hostel bathroom during peak hours,Hostel
Urgent: bus is overcrowded,Transport
Bus cleanliness is poor in Block C,Transport
Toilet is very dirty,Infrastructure
Urgent: no bus available for evening batch,Transport
Urgent: no quiet zones in library,Other
Library closing too early since yesterday,Other
Bus AC not working,Transport
Hostel food quality is very bad during peak hours,Hostel
Bus breakdown on the way during peak hours,Transport
No internet in classroom in Block C,IT / WiFi
Duplicate fee charged,Fees / Admin
Urgent: long waiting time in canteen,Canteen
Teacher is not explaining properly,Faculty / Academics
Dirty washroom in hostel block,Hostel
AC not cooling in hostel room since yesterday,Hostel
Result correction request pending during peak hours,Exams / Results
Lights are not working in corridor since yesterday,Infrastructure
Need more study space since yesterday,Other
Wrong marks updated in portal since yesterday,Exams / Results
Urgent: canteen is overcrowded,Canteen
Two-factor authentication not working,IT / WiFi
Security is not available in block B since yesterday,Ragging / Safety
Urgent: lift not working in block c,Infrastructure
Network issue in library in Block C,IT / WiFi
Power cut in hostel since morning during peak hours,Hostel
Urgent: bus is overcrowded,Transport
Doubts not cleared in lab since yesterday,Faculty / Academics
No announcement about bus delays during peak hours,Transport
Unauthorized people entering campus,Ragging / Safety
No digital payment accepted,Canteen
Server is down during submission,IT / WiFi
Hot water not available in hostel since yesterday,Hostel
Need more cultural events,Other
No dustbin in corridor since yesterday,Infrastructure
No internet in classroom since yesterday,IT / WiFi
No seating space in peak hours,Canteen
Fan is not working in class since yesterday,Infrastructure
Need more water coolers,Other
Urgent: need more study space,Other
Result portal is not loading during peak hours,Exams / Results
Urgent: ragging happening near canteen,Ragging / Safety
Exam results are delayed during peak hours,Exams / Results
AC not cooling in hostel room since yesterday,Hostel
Mentor meetings are irregular since yesterday,Faculty / Academics
Late announcement of exam changes,Exams / Results
Urgent: bonafide certificate delayed,Fees / Admin
Urgent: feedback not considered,Faculty / Academics
Security guards not attentive,Ragging / Safety
ID card not issued since yesterday,Fees / Admin
Wardens not responding to complaints in Block C,Hostel
No dustbin in corridor,Infrastructure
Canteen food quality is bad since yesterday,Canteen
Urgent: unfair internal marks given,Faculty / Academics
Fee receipt not generated since yesterday,Fees / Admin
LMS not loading videos during peak hours,IT / WiFi
Parking space is insufficient,Other
No drinking water near canteen during peak hours,Canteen
Urgent: lack of green spaces on campus,Other
Captcha error on login during peak hours,IT / WiFi
Ragging happening near canteen during peak hours,Ragging / Safety
Portal shows error while uploading in Block C,IT / WiFi
Bus did not come today during peak hours,Transport
Bus AC not working since yesterday,Transport
Urgent: no water in hostel bathroom,Hostel
No guidance for projects in Block C,Faculty / Academics
Urgent: office hours unclear,Fees / Admin
Urgent: threats received from seniors,Ragging / Safety
Urgent: vpn access is failing,IT / WiFi
No ramps for accessibility in Block C,Infrastructure
Bus timings are inconvenient in Block C,Transport
Ragging happening near canteen since yesterday,Ragging / Safety
Urgent: seating arrangement confusion,Exams / Results
Urgent: password reset not working,IT / WiFi
WiFi disconnects frequently,IT / WiFi
Document verification delayed,Fees / Admin
Feeling unsafe in hostel at night during peak hours,Ragging / Safety
Internet speed is very slow,IT / WiFi
No bus available for evening batch since yesterday,Transport
Bus did not come today in Block C,Transport
Urgent: college website is not opening,IT / WiFi
Room light is flickering in hostel,Hostel
College website is not opening since yesterday,IT / WiFi
Transport fee is too high,Transport
Urgent: canteen is overcrowded,Canteen
Safety signage missing since yesterday,Ragging / Safety
Faculty is absent frequently in Block C,Faculty / Academics
Attendance portal is slow since yesterday,IT / WiFi
Bus route has been changed suddenly since yesterday,Transport
VPN access is failing,IT / WiFi
Urgent: security guards not attentive,Ragging / Safety
Mentor meetings are irregular in Block C,Faculty / Academics
Office is not responding in Block C,Fees / Admin
Classroom is too hot during peak hours,Infrastructure
Safety signage missing during peak hours,Ragging / Safety
Admin staff is rude,Fees / Admin
Toilet is very dirty since yesterday,Infrastructure
Urgent: bus seats are damaged,Transport
Transport fee is too high during peak hours,Transport
Limited food options available during peak hours,Canteen
Hostel food quality is very bad during peak hours,Hostel
Urgent: no drinking water near canteen,Canteen
Syllabus not completed on time since yesterday,Faculty / Academics
Bus cleanliness is poor since yesterday,Transport
No CCTV in corridor in Block C,Ragging / Safety
Hostel common area is unhygienic,Hostel
Bus timings are inconvenient in Block C,Transport
Urgent: limited food options available,Canteen
Urgent: teaching quality is poor,Faculty / Academics
Duplicate fee charged,Fees / Admin
Office hours unclear,Fees / Admin
Ragging happening near canteen in Block C,Ragging / Safety
Bus breakdown on the way during peak hours,Transport
Scholarship amount not credited in Block C,Fees / Admin
Urgent: dirty washroom in hostel block,Hostel
Windows are jammed during peak hours,Infrastructure
Unfair internal marks given during peak hours,Faculty / Academics
Emergency helpline not responding,Ragging / Safety
Urgent: orientation sessions are unclear,Other
Hostel food quality is very bad,Hostel
Refund not processed,Fees / Admin
Security is not available in block B in Block C,Ragging / Safety
Bus pass not issued during peak hours,Transport
Seating arrangement confusion,Exams / Results
Document verification delayed,Fees / Admin
Urgent: power cut in hostel since morning,Hostel
Menu prices not displayed in Block C,Canteen
Doubts not cleared in lab in Block C,Faculty / Academics
Seniors are harassing juniors during peak hours,Ragging / Safety
Sports equipment is damaged during peak hours,Other
Dirty washroom in hostel block in Block C,Hostel
No announcement about bus delays in Block C,Transport
Name correction request pending,Fees / Admin
Fees payment failed but amount debited,Fees / Admin
No ramps for accessibility since yesterday,Infrastructure
Bus is late every morning,Transport
Power cut in hostel since morning during peak hours,Hostel
Suspicious activity near hostel gate in Block C,Ragging / Safety
Feedback not considered,Faculty / Academics
Water leakage in lab,Infrastructure
Exam schedule overlaps since yesterday,Exams / Results
Urgent: wrong marks updated in portal,Exams / Results
Urgent: faculty is absent frequently,Faculty / Academics
Urgent: dirty washroom in hostel block,Hostel
Need more clubs and activities since yesterday,Other
Need more study space since yesterday,Other
Poor lighting in parking area since yesterday,Ragging / Safety
Suspicious activity near hostel gate since yesterday,Ragging / Safety
Teacher is not explaining properly,Faculty / Academics
Food is stale since yesterday,Canteen
Class is too fast to understand in Block C,Faculty / Academics
Bus pass not issued,Transport
Exam center changed suddenly in Block C,Exams / Results
Library closing too early in Block C,Other
Doubts not cleared in lab during peak hours,Faculty / Academics
Two-factor authentication not working during peak hours,IT / WiFi
Teacher arrives late to class,Faculty / Academics
Bullying in college campus since yesterday,Ragging / Safety
Urgent: bus stop changed without notice,Transport
Urgent: faculty is absent frequently,Faculty / Academics
Utensils are dirty,Canteen
Scholarship amount not credited during peak hours,Fees / Admin
Feedback not considered since yesterday,Faculty / Academics
Hall ticket not generated during peak hours,Exams / Results
Security guards not attentive,Ragging / Safety
Toilet is very dirty in Block C,Infrastructure
Admin staff is rude,Fees / Admin
Transport fee is too high since yesterday,Transport
Urgent: long waiting time in canteen,Canteen
Canteen food quality is bad since yesterday,Canteen
No notes provided by faculty during peak hours,Faculty / Academics
Urgent: need more charging points,Other
Hot water not available in hostel,Hostel
Toilet is very dirty since yesterday,Infrastructure
College website is not opening in Block C,IT / WiFi
Urgent: bus route has been changed suddenly,Transport
Security is not available in block B during peak hours,Ragging / Safety
Urgent: bullying in college campus,Ragging / Safety
Ragging happening near canteen during peak hours,Ragging / Safety
Urgent: air circulation is poor,Infrastructure
No guidance for projects in Block C,Faculty / Academics
Urgent: office is not responding,Fees / Admin
Need more charging points during peak hours,Other
Bus seats are damaged in Block C,Transport
Admin staff is rude,Fees / Admin
Need more cultural events during peak hours,Other
Water leakage in lab since yesterday,Infrastructure
Urgent: emergency helpline not responding,Ragging / Safety
Library closing too early,Other
Canteen food quality is bad,Canteen
No CCTV in corridor during peak hours,Ragging / Safety
Internet speed is very slow since yesterday,IT / WiFi
LMS not loading videos since yesterday,IT / WiFi
Bus timings are inconvenient during peak hours,Transport
Need more water coolers since yesterday,Other
Attendance portal is slow in Block C,IT / WiFi
Urgent: bonafide certificate delayed,Fees / Admin
Verbal abuse by seniors during peak hours,Ragging / Safety
Parking space is insufficient since yesterday,Other
Teacher arrives late to class during peak hours,Faculty / Academics
Duplicate fee charged in Block C,Fees / Admin
Urgent: room light is flickering in hostel,Hostel
Urgent: door hinges are broken,Infrastructure
No dustbin in corridor during peak hours,Infrastructure
Menu prices not displayed,Canteen
Unable to login to student portal,IT / WiFi
Feedback not considered during peak hours,Faculty / Academics
Fees payment failed but amount debited in Block C,Fees / Admin
Urgent: bed is broken in hostel room,Hostel
Duplicate fee charged in Block C,Fees / Admin
Urgent: no bus available for evening batch,Transport
Urgent: lms not loading videos,IT / WiFi
Urgent: fee deadline extension needed,Fees / Admin
Food is stale during peak hours,Canteen
No seating space in peak hours in Block C,Canteen
Teaching quality is poor during peak hours,Faculty / Academics
Hostel food quality is very bad in Block C,Hostel
LMS not loading videos,IT / WiFi
Fee deadline extension needed in Block C,Fees / Admin
Urgent: exam results are delayed,Exams / Results
Verbal abuse by seniors in Block C,Ragging / Safety
Fee deadline extension needed in Block C,Fees / Admin
Seniors are harassing juniors in Block C,Ragging / Safety
Bus breakdown on the way since yesterday,Transport
Fees payment failed but amount debited,Fees / Admin
Urgent: revaluation result pending,Exams / Results
Lights are not working in corridor,Infrastructure
Windows are jammed since yesterday,Infrastructure
ID card not issued,Fees / Admin
Sports equipment is damaged during peak hours,Other
Teaching quality is poor during peak hours,Faculty / Academics
Mentor meetings are irregular during peak hours,Faculty / Academics
Cracked wall in classroom in Block C,Infrastructure
Teacher arrives late to class,Faculty / Academics
Urgent: exam schedule overlaps,Exams / Results
Hall ticket not generated in Block C,Exams / Results
Need more study space during peak hours,Other
Canteen food quality is bad since yesterday,Canteen
Campus is too crowded during peak hours,Other
Bonafide certificate delayed in Block C,Fees / Admin
Teacher is not explaining properly,Faculty / Academics
Urgent: lack of green spaces on campus,Other
Captcha error on login in Block C,IT / WiFi
Urgent: teaching quality is poor,Faculty / Academics
Urgent: exam center changed suddenly,Exams / Results
Revaluation result pending since yesterday,Exams / Results
Staff behavior is rude in canteen,Canteen
Cracked wall in classroom in Block C,Infrastructure
Verbal abuse by seniors since yesterday,Ragging / Safety
Drinking water cooler not working in hostel in Block C,Hostel
Windows are jammed,Infrastructure
No CCTV in corridor during peak hours,Ragging / Safety
Office is not responding during peak hours,Fees / Admin
Transport fee is too high in Block C,Transport
Limited food options available during peak hours,Canteen
Bus seats are damaged since yesterday,Transport
Projector not working in seminar hall,Infrastructure
Mentor meetings are irregular in Block C,Faculty / Academics
No quiet zones in library in Block C,Other
Internal marks not showing in Block C,Exams / Results
Canteen closes too early in Block C,Canteen
Urgent: no proper announcement system,Other
Long waiting time in canteen since yesterday,Canteen
No response for TC request,Fees / Admin
Canteen is overcrowded since yesterday,Canteen
Unauthorized people entering campus during peak hours,Ragging / Safety
Bus breakdown on the way,Transport
Bonafide certificate delayed,Fees / Admin
No digital payment accepted,Canteen
Faculty is not responding to doubts in Block C,Faculty / Academics
Urgent: need more water coolers,Other
Bus breakdown on the way since yesterday,Transport
Canteen food quality is bad,Canteen
Urgent: sports equipment is damaged,Other
Urgent: driver drives rashly,Transport
Urgent: scholarship amount not credited,Fees / Admin
Fan is not working in class,Infrastructure
Name correction request pending in Block C,Fees / Admin
Urgent: class is too fast to understand,Faculty / Academics
Urgent: need more clubs and activities,Other
Class is too fast to understand since yesterday,Faculty / Academics
Mentor meetings are irregular in Block C,Faculty / Academics
Door hinges are broken in Block C,Infrastructure
Urgent: ac not cooling in hostel room,Hostel
No digital payment accepted during peak hours,Canteen
Urgent: teacher arrives late to class,Faculty / Academics
Fees portal not opening in Block C,Fees / Admin
Unable to login to student portal since yesterday,IT / WiFi
Room light is flickering in hostel during peak hours,Hostel
Exam timetable not released,Exams / Results
Urgent: need alumni mentorship programs,Other
Urgent: broken bench in classroom,Infrastructure
Drinking water cooler not working in hostel in Block C,Hostel
Threats received from seniors in Block C,Ragging / Safety
Unauthorized people entering campus since yesterday,Ragging / Safety
No bus available for evening batch in Block C,Transport
Urgent: bus pass not issued,Transport
Urgent: no notes provided by faculty,Faculty / Academics
No notes provided by faculty since yesterday,Faculty / Academics
Urgent: lights are not working in corridor,Infrastructure
Urgent: unable to login to student portal,IT / WiFi
Unauthorized people entering campus since yesterday,Ragging / Safety
Bus timings are inconvenient in Block C,Transport
Answer scripts not uploaded,Exams / Results
Orientation sessions are unclear in Block C,Other
Projector not working in seminar hall in Block C,Infrastructure
Refund not processed during peak hours,Fees / Admin
Urgent: fee deadline extension needed,Fees / Admin
Drinking water cooler not working in hostel,Hostel
Power cut in hostel since morning,Hostel
Urgent: lift not working in block c,Infrastructure
Urgent: poor lighting in parking area,Ragging / Safety
Windows are jammed during peak hours,Infrastructure
Name correction request pending in Block C,Fees / Admin
Hostel food quality is very bad since yesterday,Hostel
Door hinges are broken since yesterday,Infrastructure
No drinking water near canteen since yesterday,Canteen
Suspicious activity near hostel gate,Ragging / Safety
Urgent: transport fee is too high,Transport
Utensils are dirty during peak hours,Canteen
Projector not working in seminar hall in Block C,Infrastructure
Internet speed is very slow during peak hours,IT / WiFi
Bus did not come today during peak hours,Transport
Hostel WiFi not working,Hostel
